country,year,pred_tree_loss_ha
Bangladesh,2026,34854.59121777456
Bangladesh,2027,35945.406225682746
Bangladesh,2028,37036.22123359097
Bangladesh,2029,38127.03624149924
Bangladesh,2030,39217.85124940747
Bangladesh,2031,40308.66625731536
Bangladesh,2032,41399.48126522369
Bangladesh,2033,42490.29627313191
Bangladesh,2034,43581.111281040125
Belarus,2025,84549.0018183815
Belarus,2026,87000.1555224815
Belarus,2027,89451.30922658257
Belarus,2028,91902.46293068257
Belarus,2029,94353.61663478387
Belarus,2030,96804.7703388853
Belarus,2031,99255.92404298518
Belarus,2032,101707.0777470864
Belarus,2033,104158.23145118622
Belarus,2034,106609.38515528744
Belgium,2025,13949.337646392873
Belgium,2026,14182.453308381562
Belgium,2027,14415.568970370252
Belgium,2028,14648.684632358985
Belgium,2029,14881.80029434769
Belgium,2030,15114.915956336365
Belgium,2031,15348.031618325054
Belgium,2032,15581.14728031373
Belgium,2033,15814.262942302434
Belgium,2034,16047.378604291196
Belize,2025,30403.621390759246
Belize,2026,31226.654258552284
Belize,2027,32049.687126345452
Belize,2028,32872.71999413855
Belize,2029,33695.75286193157
Belize,2030,34518.78572972464
Belize,2031,35341.81859751763
Belize,2032,36164.85146531073
Belize,2033,36987.884333103895
Belize,2034,37810.91720089693
Benin,2025,8675.755897033981
Benin,2026,8678.522041420802
Benin,2027,8681.288185807665
Benin,2028,8684.0543301945
Benin,2029,8686.820474581356
Benin,2030,8689.586618968176
Benin,2031,8692.35276335504
Benin,2032,8695.11890774186
Benin,2033,8697.88505212868
Benin,2034,8700.651196515544
Bhutan,2025,4487.8696150320175
Bhutan,2026,4577.760684374516
Bhutan,2027,4667.651753717
Bhutan,2028,4757.542823059506
Bhutan,2029,4847.433892401976
Bhutan,2030,4937.324961744467
Bhutan,2031,5027.2160310869585
Bhutan,2032,5117.107100429443
Bhutan,2033,5206.998169771941
Bhutan,2034,5296.889239114433
Bolivia,2025,930341.1259253611
Bolivia,2026,972020.7819739274
Bolivia,2027,1013700.4380224919
Bolivia,2028,1055380.0940710558
Bolivia,2029,1097059.7501196219
Bolivia,2030,1138739.4061681994
Bolivia,2031,1180419.0622167636
Bolivia,2032,1222098.718265328
Bolivia,2033,1263778.3743138942
Bolivia,2034,1305458.0303624587
Bosnia And Herzegovina,2025,14139.20551120292
Bosnia And Herzegovina,2026,14224.419561959454
Bosnia And Herzegovina,2027,14309.633612715988
Bosnia And Herzegovina,2028,14394.847663472538
Bosnia And Herzegovina,2029,14480.061714229101
Bosnia And Herzegovina,2030,14565.275764985636
Bosnia And Herzegovina,2031,14650.489815742185
Bosnia And Herzegovina,2032,14735.703866498734
Bosnia And Herzegovina,2033,14820.917917255283
Bosnia And Herzegovina,2034,14906.131968011803
Botswana,2025,6998.131886437193
Botswana,2026,7055.502255699452
Botswana,2027,7112.8726249617175
Botswana,2028,7170.242994223976
Botswana,2029,7227.613363486249
Botswana,2030,7284.9837327485
Botswana,2031,7342.354102010759
Botswana,2032,7399.724471273024
Botswana,2033,7457.09484053529
Botswana,2034,7514.465209797549
Brazil,2025,3617198.350493529
Brazil,2026,3662359.9853734425
Brazil,2027,3707521.620253348
Brazil,2028,3752683.2551332586
Brazil,2029,3797844.890013171
Brazil,2030,3843006.524893081
Brazil,2031,3888168.1597729838
Brazil,2032,3933329.7946528955
Brazil,2033,3978491.429532808
Brazil,2034,4023653.0644127177
Brunei,2025,7083.42171540195
Brunei,2026,7118.84034881321
Brunei,2027,7154.2589822244845
Brunei,2028,7189.677615635752
Brunei,2029,7225.0962490470265
Brunei,2030,7260.514882458294
Brunei,2031,7295.933515869554
Brunei,2032,7331.352149280829
Brunei,2033,7366.770782692103
Brunei,2034,7402.189416103363
